wave_type,frequency,amplitude,phase,snr_db,wave_type_detected,freq_detected,amp_detected,phase_detected,freq_error_hz,freq_error_pct,amp_error,phase_error_rad,freq_error
triangle,3.2434462917455518,0.5987648577135622,0.6467365813189447,,sine,3.081396861598873,0.4335405015404139,-0.3811869830394611,-0.16204943014667883,-4.996211300279228,-0.16522435617314835,-1.0279235643584057,-0.16204943014667883
white_noise,,0.7385528206273885,,30.0,pink_noise,,0.7261494171889801,,,,-0.0124034034384084,,
sine,1.0,1.0,1.5707963267948966,40.0,cosine,1.0,1.0009987262388031,1.5837069654085525,0.0,0.0,0.0009987262388031493,0.012910638613655934,0.0
cosine,1.7125365749669452,0.6009511992981135,4.8054614798501145,,sine,1.9324905117963462,0.5404721876515357,-0.52437741132804,0.219953936829401,12.843751196008558,-0.06047901164657776,0.9533464160014313,0.219953936829401
square,2.976635283688507,0.6667972138238024,3.3400169713257526,40.0,square,2.9999677049831854,0.6806872923024834,0.158882906032879,0.023332421294678607,0.7838522046196458,0.013890078478680956,3.1020512418867128,0.023332421294678607
sine,3.63731071105701,1.4728080535690573,2.863227815412974,30.0,cosine,3.8358886739919194,1.2637923052411668,-0.8523197835160554,0.19857796293490937,5.459472085550871,-0.2090157483278905,2.5676377082505564,0.19857796293490937
sine,4.146782795447001,1.3362183091872366,5.83225238292708,20.0,sine,4.026543179322795,1.2635456673011372,-0.023402254720272395,-0.12023961612420564,-2.899587995209777,-0.07267264188609945,0.42753066953223406,-0.12023961612420564
cosine,2.767604294980282,0.7444758424858395,5.546854624771849,30.0,sine,2.992093965065495,0.7138508158237594,0.1537019977667661,0.22448967008521326,8.111335514704159,-0.030625026662080113,0.8900326801745031,0.22448967008521326
square,2.30618737068712,0.6978098472591969,4.8892695848894325,,logarithmic_decay,,0.697809847259197,,,,1.1102230246251565e-16,,
sawtooth,1.0,1.0,3.141592653589793,,square,1.0,0.996078431372549,0.012271784634527287,0.0,0.0,-0.0039215686274509665,-3.129320868955266,0.0
